ITTER107;Territorio;TIPO_DATO_AVQ;Tipo dato;MISURA_AVQ;Misura;TIME;Seleziona periodo;Value;Flag Codes;Flags
ITC;Nord-ovest;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2014;2014;52.4;;
ITC;Nord-ovest;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2015;2015;55.4;;
ITC;Nord-ovest;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2016;2016;53.8;;
ITC;Nord-ovest;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2017;2017;55.3;;
ITC;Nord-ovest;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2018;2018;56;;
ITC;Nord-ovest;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2019;2019;57;;
ITC;Nord-ovest;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2020;2020;55.2;;
ITC;Nord-ovest;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2021;2021;57.4;;
ITC;Nord-ovest;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2022;2022;57.1;;
ITD;Nord-est;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2014;2014;55.8;;
ITD;Nord-est;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2015;2015;57.9;;
ITD;Nord-est;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2016;2016;56.6;;
ITD;Nord-est;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2017;2017;58.3;;
ITD;Nord-est;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2018;2018;60.1;;
ITD;Nord-est;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2019;2019;59;;
ITD;Nord-est;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2020;2020;58.8;;
ITD;Nord-est;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2021;2021;58.7;;
ITD;Nord-est;11_VINO;persone di 11 anni e più che consumano vino;HSC;per 100 persone con le stesse caratteristiche;2022;2022;60.3;;
ITF2;Molise;11_BIC_VINO;1-2 bicchieri di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2014;2014;18.9;;
ITF2;Molise;11_BIC_VINO;1-2 bicchieri di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2015;2015;19;;
ITF2;Molise;11_BIC_VINO;1-2 bicchieri di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2016;2016;18.7;;
ITF2;Molise;11_BIC_VINO;1-2 bicchieri di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2017;2017;18.3;;
ITF2;Molise;11_BIC_VINO;1-2 bicchieri di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2018;2018;17.3;;
ITF2;Molise;11_BIC_VINO;1-2 bicchieri di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2019;2019;15.6;;
ITF2;Molise;11_BIC_VINO;1-2 bicchieri di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2020;2020;19.7;;
ITF2;Molise;11_BIC_VINO;1-2 bicchieri di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2021;2021;16.3;;
ITF2;Molise;11_BIC_VINO;1-2 bicchieri di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2022;2022;16.6;;
6;fino a 2.000 ab.;11_STAG_BIRRA;consuma birra solo stagionalmente;HSC;per 100 persone con le stesse caratteristiche;2014;2014;11.7;;
6;fino a 2.000 ab.;11_STAG_BIRRA;consuma birra solo stagionalmente;HSC;per 100 persone con le stesse caratteristiche;2015;2015;10;;
6;fino a 2.000 ab.;11_STAG_BIRRA;consuma birra solo stagionalmente;HSC;per 100 persone con le stesse caratteristiche;2016;2016;11.1;;
6;fino a 2.000 ab.;11_STAG_BIRRA;consuma birra solo stagionalmente;HSC;per 100 persone con le stesse caratteristiche;2017;2017;11.5;;
6;fino a 2.000 ab.;11_STAG_BIRRA;consuma birra solo stagionalmente;HSC;per 100 persone con le stesse caratteristiche;2018;2018;11.2;;
6;fino a 2.000 ab.;11_STAG_BIRRA;consuma birra solo stagionalmente;HSC;per 100 persone con le stesse caratteristiche;2019;2019;11.2;;
6;fino a 2.000 ab.;11_STAG_BIRRA;consuma birra solo stagionalmente;HSC;per 100 persone con le stesse caratteristiche;2020;2020;9.5;;
6;fino a 2.000 ab.;11_STAG_BIRRA;consuma birra solo stagionalmente;HSC;per 100 persone con le stesse caratteristiche;2021;2021;12.2;;
6;fino a 2.000 ab.;11_STAG_BIRRA;consuma birra solo stagionalmente;HSC;per 100 persone con le stesse caratteristiche;2022;2022;10.9;;
ITE;Centro;11_STAG_BIRRA;consuma birra solo stagionalmente;THV;valori in migliaia;2014;2014;1433;;
ITE;Centro;11_STAG_BIRRA;consuma birra solo stagionalmente;THV;valori in migliaia;2015;2015;1516;;
ITE;Centro;11_STAG_BIRRA;consuma birra solo stagionalmente;THV;valori in migliaia;2016;2016;1466;;
ITE;Centro;11_STAG_BIRRA;consuma birra solo stagionalmente;THV;valori in migliaia;2017;2017;1387;;
ITE;Centro;11_STAG_BIRRA;consuma birra solo stagionalmente;THV;valori in migliaia;2018;2018;1475;;
ITE;Centro;11_STAG_BIRRA;consuma birra solo stagionalmente;THV;valori in migliaia;2019;2019;1222;;
ITE;Centro;11_STAG_BIRRA;consuma birra solo stagionalmente;THV;valori in migliaia;2020;2020;1346;;
ITE;Centro;11_STAG_BIRRA;consuma birra solo stagionalmente;THV;valori in migliaia;2021;2021;1409;;
ITE;Centro;11_STAG_BIRRA;consuma birra solo stagionalmente;THV;valori in migliaia;2022;2022;1311;;
7;2.001 - 10.000 ab.;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2014;2014;27.3;;
7;2.001 - 10.000 ab.;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2015;2015;28.8;;
7;2.001 - 10.000 ab.;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2016;2016;30.2;;
7;2.001 - 10.000 ab.;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2017;2017;30.2;;
7;2.001 - 10.000 ab.;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2018;2018;32.3;;
7;2.001 - 10.000 ab.;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2019;2019;32.8;;
7;2.001 - 10.000 ab.;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2020;2020;32.3;;
7;2.001 - 10.000 ab.;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2021;2021;30.9;;
7;2.001 - 10.000 ab.;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2022;2022;33.8;;
ITDA;Trentino Alto Adige / Südtirol;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2014;2014;505;;
ITDA;Trentino Alto Adige / Südtirol;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2015;2015;477;;
ITDA;Trentino Alto Adige / Südtirol;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2016;2016;493;;
ITDA;Trentino Alto Adige / Südtirol;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2017;2017;534;;
ITDA;Trentino Alto Adige / Südtirol;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2018;2018;527;;
ITDA;Trentino Alto Adige / Südtirol;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2019;2019;518;;
ITDA;Trentino Alto Adige / Südtirol;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2020;2020;515;;
ITDA;Trentino Alto Adige / Südtirol;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2021;2021;522;;
ITDA;Trentino Alto Adige / Südtirol;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2022;2022;529;;
ITCD;Nord;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2014;2014;45.3;;
ITCD;Nord;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2015;2015;47.3;;
ITCD;Nord;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2016;2016;48.3;;
ITCD;Nord;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2017;2017;48.5;;
ITCD;Nord;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2018;2018;50.4;;
ITCD;Nord;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2019;2019;51.2;;
ITCD;Nord;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2020;2020;51;;
ITCD;Nord;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2021;2021;51.1;;
ITCD;Nord;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2022;2022;52.4;;
ITF2;Molise;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2014;2014;138;;
ITF2;Molise;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2015;2015;137;;
ITF2;Molise;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2016;2016;139;;
ITF2;Molise;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2017;2017;134;;
ITF2;Molise;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2018;2018;141;;
ITF2;Molise;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2019;2019;145;;
ITF2;Molise;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2020;2020;146;;
ITF2;Molise;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2021;2021;138;;
ITF2;Molise;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2022;2022;141;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2014;2014;43;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2015;2015;35;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2016;2016;37;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2017;2017;40;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2018;2018;39;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2019;2019;29;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2020;2020;28;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2021;2021;37;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2022;2022;41;;
ITF4;Puglia;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2014;2014;725;;
ITF4;Puglia;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2015;2015;769;;
