"TIPO_DATO_AVQ"|"Tipo dato"|"MISURA_AVQ"|"Misura"|"SEXISTAT1"|"Sesso"|"ETA1"|"Classe di età"|"TIME"|"Seleziona periodo"|"Value"|"Flag Codes"|"Flags"
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2014"|"2014"|747||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2015"|"2015"|753||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2016"|"2016"|815||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2017"|"2017"|778||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2018"|"2018"|794||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2019"|"2019"|801||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2020"|"2020"|745||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2021"|"2021"|844||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2022"|"2022"|805||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2014"|"2014"|121||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2015"|"2015"|69||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2016"|"2016"|94||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2017"|"2017"|97||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2018"|"2018"|53||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2019"|"2019"|76||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2020"|"2020"|63||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2021"|"2021"|74||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y20-24"|"20-24 anni"|"2022"|"2022"|60||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2014"|"2014"|478||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2015"|"2015"|474||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2016"|"2016"|562||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2017"|"2017"|593||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2018"|"2018"|596||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2019"|"2019"|613||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2020"|"2020"|596||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2021"|"2021"|578||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2022"|"2022"|641||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2014"|"2014"|612||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2015"|"2015"|555||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2016"|"2016"|732||
